seq	tool	command
1	Bash	git branch --show-current; git status --short; git branch -v; git log --oneline --graph --all --decorate -20; git remote
2	Bash	for b in feature/a feature/b; do echo "== $b ahead"; git log --oneline main..$b; echo "-- behind"; git log --oneline $b..main; echo "-- stat"; git diff --stat main...$b; done
3	Bash	git log --oneline main..feature/a; echo -- behind; git log --oneline feature/a..main; echo -- stat; git diff --stat main...feature/a
4	Bash	git log --oneline main..feature/b; echo -- behind; git log --oneline feature/b..main; echo -- stat; git diff --stat main...feature/b
5	Bash	git rebase main feature/a && git checkout main && git merge feature/a --ff-only; echo "exit=$?"; git status --short | head
6	Bash	git rebase main feature/a
7	Bash	git checkout main
8	Bash	git merge feature/a --ff-only
9	Bash	git rebase main feature/b
10	Bash	git checkout main
11	Bash	git merge feature/b --ff-only
12	Bash	git log --oneline --graph -10; git remote
