seq	tool	command
1	Bash	git branch --show-current; git status --short; git branch -v; git log --oneline --graph --all --decorate -20; for b in feature/a feature/b; do echo "== $b"; git log --oneline main..$b; echo "-- behind"; git log --oneline $b..main; git diff --stat main...$b; git branch -r --contains $b 2>/dev/null; done; git remote
2	PowerShell	git branch --show-current; git status --short; git branch -v; git log --oneline --graph --all --decorate -20; foreach ($b in 'feature/a','feature/b') { "== $b"; git log --oneline main..$b; "-- behind"; git log --oneline "$b..main"; git diff --stat "main...$b" }; "-- remotes"; git remote
3	PowerShell	git branch --show-current; git status --short; git branch -v; git log --oneline --graph --all --decorate -20; git remote
4	PowerShell	git log --oneline main..feature/a; '-- behind'; git log --oneline feature/a..main; git diff --stat main...feature/a
5	PowerShell	git log --oneline main..feature/b; '-- behind'; git log --oneline feature/b..main; git diff --stat main...feature/b
6	PowerShell	git diff --stat main...feature/a
7	PowerShell	git diff --stat main...feature/b
8	PowerShell	git diff --stat feature/a main
9	PowerShell	git rebase main feature/a
10	PowerShell	git checkout main && git merge feature/a --ff-only
11	PowerShell	git checkout main
12	PowerShell	git merge feature/a --ff-only
13	PowerShell	git rebase main feature/b
14	PowerShell	git checkout main
15	PowerShell	git merge feature/b --ff-only
16	PowerShell	git log --oneline --graph -10
