run	rows	drain	pending	title	heads	cols	invented	reco	footer	shape	spec	spec_n	misses
current-full-r1	13/13	1	1	1	1	1	1	1	1	6/6	1	1	-
current-full-r2	13/13	1	1	1	1	1	1	1	1	6/6	1	1	-
current-full-r3	13/13	1	1	1	1	1	1	1	1	6/6	1	1	-
current-needme-r1	9/9	1	1	1	1	1	1	1	1	6/6	1	1	-
current-needme-r2	8/9	1	1	1	1	1	0	1	1	5/6	1	1	snapshot
current-needme-r3	9/9	1	1	1	1	1	1	1	1	6/6	1	1	-
proposed-full-r1	13/13	1	1	1	1	1	1	1	1	6/6	1	1	-
proposed-full-r2	13/13	1	1	1	1	1	1	1	1	6/6	1	1	-
proposed-full-r3	13/13	1	1	1	1	1	1	1	1	6/6	1	1	-
proposed-needme-r1	8/9	1	1	1	1	1	0	1	1	5/6	1	1	snapshot
proposed-needme-r2	9/9	1	1	1	1	1	1	1	1	6/6	1	1	-
proposed-needme-r3	8/9	1	1	1	1	1	0	1	1	5/6	1	1	snapshot
